Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"curl/curl#22482","curl/curl","22482","https://github.com/curl/curl/pull/22482","No","None",""
"curl/curl#21555","curl/curl","21555","https://github.com/curl/curl/pull/21555","No","None",""
"curl/curl#22517","curl/curl","22517","https://github.com/curl/curl/pull/22517","No","None",""
"curl/curl#21540","curl/curl","21540","https://github.com/curl/curl/pull/21540","No","None",""
"curl/curl#21887","curl/curl","21887","https://github.com/curl/curl/pull/21887","No","None",""
"curl/curl#21535","curl/curl","21535","https://github.com/curl/curl/pull/21535","No","None",""
"curl/curl#22002","curl/curl","22002","https://github.com/curl/curl/pull/22002","No","None",""
"curl/curl#21616","curl/curl","21616","https://github.com/curl/curl/pull/21616","No","None",""
"django/django#21402","django/django","21402","https://github.com/django/django/pull/21402","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#21531","django/django","21531","https://github.com/django/django/pull/21531","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#21802","django/django","21802","https://github.com/django/django/pull/21802","No","None",""
"django/django#21211","django/django","21211","https://github.com/django/django/pull/21211","Yes","Positive","I used ChatGPT to help draft the documentation changes."
"django/django#21338","django/django","21338","https://github.com/django/django/pull/21338","Yes","Positive","Used Claude 4.x to implement the 79 character lines and review the content."
"django/django#21305","django/django","21305","https://github.com/django/django/pull/21305","Yes","Positive","I used Claude for guidance on the Django contribution workflow, to review this text description and review the code fix."
"django/django#21583","django/django","21583","https://github.com/django/django/pull/21583","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#18693","django/django","18693","https://github.com/django/django/pull/18693","No","None",""
"django/django#21227","django/django","21227","https://github.com/django/django/pull/21227","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#21730","django/django","21730","https://github.com/django/django/pull/21730","Yes","Positive","OpenAI ChatGPT (GPT-5.5) was used"
"django/django#21813","django/django","21813","https://github.com/django/django/pull/21813","No","None",""
"django/django#21518","django/django","21518","https://github.com/django/django/pull/21518","Yes","Positive","I used ChatGPT to help understand the ticket, contribution workflow, and review the implementation steps."
"django/django#21223","django/django","21223","https://github.com/django/django/pull/21223","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#21754","django/django","21754","https://github.com/django/django/pull/21754","Yes","Positive","Claude 5 Fable did nearly all the work here, discovering the bug and writing the commit."
"django/django#21277","django/django","21277","https://github.com/django/django/pull/21277","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#21555","django/django","21555","https://github.com/django/django/pull/21555","Yes","Positive","Used an AI assistant to help understand the locks.py internal logic and for guidance on setting up the local Django test suite."
"django/django#21833","django/django","21833","https://github.com/django/django/pull/21833","Yes","Positive","Codex"
"django/django#21510","django/django","21510","https://github.com/django/django/pull/21510","Yes","Negative","No AI tools were used in preparing this PR."
"django/django#21666","django/django","21666","https://github.com/django/django/pull/21666","No","None",""
"django/django#21197","django/django","21197","https://github.com/django/django/pull/21197","Yes","Negative","No AI tools were used in preparing this PR."
"easybuilders/easybuild#940","easybuilders/easybuild","940","https://github.com/easybuilders/easybuild/pull/940","No","None",""
"fedify-dev/fedify#817","fedify-dev/fedify","817","https://github.com/fedify-dev/fedify/pull/817","Yes","Positive","Claude Code:claude-opus-4-8"
"fedify-dev/fedify#984","fedify-dev/fedify","984","https://github.com/fedify-dev/fedify/pull/984","Yes","Positive","Codex (gpt-5.6-sol) assisted with code analysis, implementation, test planning, validation, and drafting this description."
"fedify-dev/fedify#789","fedify-dev/fedify","789","https://github.com/fedify-dev/fedify/pull/789","No","None",""
"fedify-dev/fedify#793","fedify-dev/fedify","793","https://github.com/fedify-dev/fedify/pull/793","Yes","Positive","Assisted-by: OpenCode:deepseek-v4-pro trailers, and Assisted-by: Codex:gpt-5.5"
"fedify-dev/fedify#980","fedify-dev/fedify","980","https://github.com/fedify-dev/fedify/pull/980","Yes","Positive","assisted by Codex (GPT-5.6 Sol; model ID: gpt-5.6-sol)"
"fedify-dev/fedify#795","fedify-dev/fedify","795","https://github.com/fedify-dev/fedify/pull/795","No","None",""
"fedify-dev/fedify#977","fedify-dev/fedify","977","https://github.com/fedify-dev/fedify/pull/977","Yes","Positive","Github Copilot helped me making title of this PR, gpt-5.6-terra helped checking code quality."
"fedify-dev/fedify#927","fedify-dev/fedify","927","https://github.com/fedify-dev/fedify/pull/927","No","None",""
"fedify-dev/fedify#770","fedify-dev/fedify","770","https://github.com/fedify-dev/fedify/pull/770","No","None",""
"fedify-dev/fedify#959","fedify-dev/fedify","959","https://github.com/fedify-dev/fedify/pull/959","Yes","Positive","Assisted-by: chatgpt codex-5.6-sol"
"fedify-dev/fedify#768","fedify-dev/fedify","768","https://github.com/fedify-dev/fedify/pull/768","No","None",""
"fedify-dev/fedify#966","fedify-dev/fedify","966","https://github.com/fedify-dev/fedify/pull/966","Yes","Positive","AI-assisted (OpenCode with claude-fable-5"
"fedify-dev/fedify#772","fedify-dev/fedify","772","https://github.com/fedify-dev/fedify/pull/772","No","None",""
"fedify-dev/fedify#807","fedify-dev/fedify","807","https://github.com/fedify-dev/fedify/pull/807","Yes","Positive","Assisted-by: Codex:gpt-5.5"
"fedify-dev/fedify#915","fedify-dev/fedify","915","https://github.com/fedify-dev/fedify/pull/915","No","None",""
"fedify-dev/fedify#940","fedify-dev/fedify","940","https://github.com/fedify-dev/fedify/pull/940","No","None",""
"fedify-dev/fedify#1016","fedify-dev/fedify","1016","https://github.com/fedify-dev/fedify/pull/1016","Yes","Positive","This change was written with assistance from Codex:gpt-5.6-luna, reviewed and verified by me."
"fedify-dev/fedify#845","fedify-dev/fedify","845","https://github.com/fedify-dev/fedify/pull/845","No","None",""
"fedify-dev/fedify#804","fedify-dev/fedify","804","https://github.com/fedify-dev/fedify/pull/804","No","None",""
"fedify-dev/fedify#778","fedify-dev/fedify","778","https://github.com/fedify-dev/fedify/pull/778","No","None",""
"ghostty-org/ghostty#14051","ghostty-org/ghostty","14051","https://github.com/ghostty-org/ghostty/pull/14051","No","None",""
"ghostty-org/ghostty#12781","ghostty-org/ghostty","12781","https://github.com/ghostty-org/ghostty/pull/12781","No","None",""
"ghostty-org/ghostty#13936","ghostty-org/ghostty","13936","https://github.com/ghostty-org/ghostty/pull/13936","Yes","Positive","AI usage: Created with claude code and opus 5."
"ghostty-org/ghostty#13781","ghostty-org/ghostty","13781","https://github.com/ghostty-org/ghostty/pull/13781","No","None",""
"ghostty-org/ghostty#13717","ghostty-org/ghostty","13717","https://github.com/ghostty-org/ghostty/pull/13717","No","None",""
"ghostty-org/ghostty#13820","ghostty-org/ghostty","13820","https://github.com/ghostty-org/ghostty/pull/13820","No","None",""
"ghostty-org/ghostty#13934","ghostty-org/ghostty","13934","https://github.com/ghostty-org/ghostty/pull/13934","No","None",""
"ghostty-org/ghostty#13612","ghostty-org/ghostty","13612","https://github.com/ghostty-org/ghostty/pull/13612","No","None",""
"ghostty-org/ghostty#13878","ghostty-org/ghostty","13878","https://github.com/ghostty-org/ghostty/pull/13878","No","None",""
"ghostty-org/ghostty#13881","ghostty-org/ghostty","13881","https://github.com/ghostty-org/ghostty/pull/13881","No","None",""
"ghostty-org/ghostty#12837","ghostty-org/ghostty","12837","https://github.com/ghostty-org/ghostty/pull/12837","No","None",""
"ghostty-org/ghostty#13888","ghostty-org/ghostty","13888","https://github.com/ghostty-org/ghostty/pull/13888","Yes","Positive","AI Usage: The approach was suggested by GPT 5.6 Sol"
"ghostty-org/ghostty#13644","ghostty-org/ghostty","13644","https://github.com/ghostty-org/ghostty/pull/13644","No","None",""
"ghostty-org/ghostty#13635","ghostty-org/ghostty","13635","https://github.com/ghostty-org/ghostty/pull/13635","No","None",""
"ghostty-org/ghostty#13427","ghostty-org/ghostty","13427","https://github.com/ghostty-org/ghostty/pull/13427","Yes","Positive","GPT 5.5 did the job mostly."
"ghostty-org/ghostty#13628","ghostty-org/ghostty","13628","https://github.com/ghostty-org/ghostty/pull/13628","No","None",""
"ghostty-org/ghostty#13702","ghostty-org/ghostty","13702","https://github.com/ghostty-org/ghostty/pull/13702","No","None",""
"ghostty-org/ghostty#13852","ghostty-org/ghostty","13852","https://github.com/ghostty-org/ghostty/pull/13852","No","None",""
"ghostty-org/ghostty#14006","ghostty-org/ghostty","14006","https://github.com/ghostty-org/ghostty/pull/14006","Yes","Positive","By Claude, but it's really simple"
"ghostty-org/ghostty#12030","ghostty-org/ghostty","12030","https://github.com/ghostty-org/ghostty/pull/12030","Yes","Positive","I used Claude Code to implement basically all of this. I reviewed it and slightly edited it."
"go-gitea/gitea#38747","go-gitea/gitea","38747","https://github.com/go-gitea/gitea/pull/38747","No","None",""
"go-gitea/gitea#38166","go-gitea/gitea","38166","https://github.com/go-gitea/gitea/pull/38166","No","None",""
"go-gitea/gitea#37591","go-gitea/gitea","37591","https://github.com/go-gitea/gitea/pull/37591","Yes","Positive","This PR was written with the help of Claude Opus 4.7"
"go-gitea/gitea#37429","go-gitea/gitea","37429","https://github.com/go-gitea/gitea/pull/37429","No","None",""
