Sample ID,Repo,PR #,PR URL,Disclosure Present,Disclosure Classification,Notes
"kornia/kornia#3850","kornia/kornia","3850","https://github.com/kornia/kornia/pull/3850","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3784","kornia/kornia","3784","https://github.com/kornia/kornia/pull/3784","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3933","kornia/kornia","3933","https://github.com/kornia/kornia/pull/3933","Yes","Positive","🔴 AI-generated"
"kornia/kornia#4088","kornia/kornia","4088","https://github.com/kornia/kornia/pull/4088","No","None",""
"kornia/kornia#3833","kornia/kornia","3833","https://github.com/kornia/kornia/pull/3833","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3680","kornia/kornia","3680","https://github.com/kornia/kornia/pull/3680","No","None",""
"kornia/kornia#3842","kornia/kornia","3842","https://github.com/kornia/kornia/pull/3842","Yes","Positive","🤖 Generated with Claude Code"
"kornia/kornia#3642","kornia/kornia","3642","https://github.com/kornia/kornia/pull/3642","No","None",""
"apache/kvrocks#3535","apache/kvrocks","3535","https://github.com/apache/kvrocks/pull/3535","No","None",""
"apache/kvrocks#3431","apache/kvrocks","3431","https://github.com/apache/kvrocks/pull/3431","No","None",""
"apache/kvrocks#3550","apache/kvrocks","3550","https://github.com/apache/kvrocks/pull/3550","No","None",""
"apache/kvrocks#3480","apache/kvrocks","3480","https://github.com/apache/kvrocks/pull/3480","No","None",""
"apache/kvrocks#3501","apache/kvrocks","3501","https://github.com/apache/kvrocks/pull/3501","Yes","Positive","Assisted-by: Codex/GPT5.5 xhigh"
"apache/kvrocks#3590","apache/kvrocks","3590","https://github.com/apache/kvrocks/pull/3590","No","None",""
"apache/kvrocks#3479","apache/kvrocks","3479","https://github.com/apache/kvrocks/pull/3479","No","None",""
"apache/kvrocks#3486","apache/kvrocks","3486","https://github.com/apache/kvrocks/pull/3486","Yes","Positive","ZDIFFSTORE writes results to a destination key, but it was previously registered as read-only slow. I fix it."
"apache/kvrocks#3472","apache/kvrocks","3472","https://github.com/apache/kvrocks/pull/3472","Yes","Positive","Assisted-by: Codex/GPT 5.5 xhigh"
"apache/kvrocks#3506","apache/kvrocks","3506","https://github.com/apache/kvrocks/pull/3506","Yes","Positive","Assisted-by: Codex/GPT5.5"
"apache/kvrocks#3560","apache/kvrocks","3560","https://github.com/apache/kvrocks/pull/3560","Yes","Positive","Assistant-By Claude Fable 5"
"apache/kvrocks#3541","apache/kvrocks","3541","https://github.com/apache/kvrocks/pull/3541","Yes","Positive","Assisted by Codex/GPT-5.5."
"apache/kvrocks#3538","apache/kvrocks","3538","https://github.com/apache/kvrocks/pull/3538","No","None",""
"apache/kvrocks#3413","apache/kvrocks","3413","https://github.com/apache/kvrocks/pull/3413","Yes","Positive","The architectural design of this PR was completed independently. Some code segments were developed with AI. All test cases in this PR were either autonomously generated by AI or generated based on natural language descriptions provided by me."
"apache/kvrocks#3483","apache/kvrocks","3483","https://github.com/apache/kvrocks/pull/3483","Yes","Positive","Assisted-by: Codex/GPT 5.5 xhigh"
"apache/kvrocks#3570","apache/kvrocks","3570","https://github.com/apache/kvrocks/pull/3570","Yes","Positive","Assistant-By Claude Opus 4.8"
"apache/kvrocks#3532","apache/kvrocks","3532","https://github.com/apache/kvrocks/pull/3532","No","None",""
"apache/kvrocks#3580","apache/kvrocks","3580","https://github.com/apache/kvrocks/pull/3580","No","None",""
"apache/kvrocks#3485","apache/kvrocks","3485","https://github.com/apache/kvrocks/pull/3485","No","None",""
"apache/kvrocks#3554","apache/kvrocks","3554","https://github.com/apache/kvrocks/pull/3554","Yes","Positive","Assisted by GPT 5.5 Sol."
"llvm/llvm-project#193725","llvm/llvm-project","193725","https://github.com/llvm/llvm-project/pull/193725","No","None",""
"llvm/llvm-project#206310","llvm/llvm-project","206310","https://github.com/llvm/llvm-project/pull/206310","No","None",""
"llvm/llvm-project#185197","llvm/llvm-project","185197","https://github.com/llvm/llvm-project/pull/185197","No","None",""
"llvm/llvm-project#220115","llvm/llvm-project","220115","https://github.com/llvm/llvm-project/pull/220115","No","None",""
"llvm/llvm-project#195447","llvm/llvm-project","195447","https://github.com/llvm/llvm-project/pull/195447","No","None",""
"llvm/llvm-project#215354","llvm/llvm-project","215354","https://github.com/llvm/llvm-project/pull/215354","No","None",""
"llvm/llvm-project#199346","llvm/llvm-project","199346","https://github.com/llvm/llvm-project/pull/199346","No","None",""
"llvm/llvm-project#196947","llvm/llvm-project","196947","https://github.com/llvm/llvm-project/pull/196947","No","None",""
"llvm/llvm-project#151840","llvm/llvm-project","151840","https://github.com/llvm/llvm-project/pull/151840","No","None",""
"llvm/llvm-project#202904","llvm/llvm-project","202904","https://github.com/llvm/llvm-project/pull/202904","No","None",""
"llvm/llvm-project#195586","llvm/llvm-project","195586","https://github.com/llvm/llvm-project/pull/195586","Yes","Positive","Assisted-by: Claude Sonnet 4"
"llvm/llvm-project#206972","llvm/llvm-project","206972","https://github.com/llvm/llvm-project/pull/206972","No","None",""
"llvm/llvm-project#217022","llvm/llvm-project","217022","https://github.com/llvm/llvm-project/pull/217022","No","None",""
"llvm/llvm-project#207684","llvm/llvm-project","207684","https://github.com/llvm/llvm-project/pull/207684","No","None",""
"llvm/llvm-project#214138","llvm/llvm-project","214138","https://github.com/llvm/llvm-project/pull/214138","No","None",""
"llvm/llvm-project#194062","llvm/llvm-project","194062","https://github.com/llvm/llvm-project/pull/194062","Yes","Positive","Co-Authored-By: Claude Sonnet 4.5"
"llvm/llvm-project#198489","llvm/llvm-project","198489","https://github.com/llvm/llvm-project/pull/198489","No","None",""
"llvm/llvm-project#206537","llvm/llvm-project","206537","https://github.com/llvm/llvm-project/pull/206537","Yes","Positive","Assisted by: Claude"
"llvm/llvm-project#213127","llvm/llvm-project","213127","https://github.com/llvm/llvm-project/pull/213127","No","None",""
"llvm/llvm-project#194063","llvm/llvm-project","194063","https://github.com/llvm/llvm-project/pull/194063","No","None",""
"matplotlib/matplotlib#32038","matplotlib/matplotlib","32038","https://github.com/matplotlib/matplotlib/pull/32038","Yes","Negative","No AI was used"
"matplotlib/matplotlib#32123","matplotlib/matplotlib","32123","https://github.com/matplotlib/matplotlib/pull/32123","No","None",""
"matplotlib/matplotlib#31636","matplotlib/matplotlib","31636","https://github.com/matplotlib/matplotlib/pull/31636","No","None",""
"matplotlib/matplotlib#31828","matplotlib/matplotlib","31828","https://github.com/matplotlib/matplotlib/pull/31828","No","None",""
"matplotlib/matplotlib#25851","matplotlib/matplotlib","25851","https://github.com/matplotlib/matplotlib/pull/25851","No","None",""
"matplotlib/matplotlib#32095","matplotlib/matplotlib","32095","https://github.com/matplotlib/matplotlib/pull/32095","Yes","Positive","I used AI to help.."
"matplotlib/matplotlib#31749","matplotlib/matplotlib","31749","https://github.com/matplotlib/matplotlib/pull/31749","Yes","Negative","No AI used."
"matplotlib/matplotlib#31878","matplotlib/matplotlib","31878","https://github.com/matplotlib/matplotlib/pull/31878","Yes","Negative","None"
"matplotlib/matplotlib#31911","matplotlib/matplotlib","31911","https://github.com/matplotlib/matplotlib/pull/31911","No","None",""
"matplotlib/matplotlib#31836","matplotlib/matplotlib","31836","https://github.com/matplotlib/matplotlib/pull/31836","No","None",""
"matplotlib/matplotlib#31948","matplotlib/matplotlib","31948","https://github.com/matplotlib/matplotlib/pull/31948","No","None",""
"matplotlib/matplotlib#24626","matplotlib/matplotlib","24626","https://github.com/matplotlib/matplotlib/pull/24626","No","None",""
"matplotlib/matplotlib#31779","matplotlib/matplotlib","31779","https://github.com/matplotlib/matplotlib/pull/31779","No","None",""
"matplotlib/matplotlib#31874","matplotlib/matplotlib","31874","https://github.com/matplotlib/matplotlib/pull/31874","Yes","Negative","None"
"matplotlib/matplotlib#31616","matplotlib/matplotlib","31616","https://github.com/matplotlib/matplotlib/pull/31616","No","None",""
"matplotlib/matplotlib#32250","matplotlib/matplotlib","32250","https://github.com/matplotlib/matplotlib/pull/32250","Yes","Negative","None"
"matplotlib/matplotlib#32184","matplotlib/matplotlib","32184","https://github.com/matplotlib/matplotlib/pull/32184","No","None",""
"matplotlib/matplotlib#32066","matplotlib/matplotlib","32066","https://github.com/matplotlib/matplotlib/pull/32066","Yes","Positive","This PR was authored with substantial AI assistance (Claude)."
"matplotlib/matplotlib#31595","matplotlib/matplotlib","31595","https://github.com/matplotlib/matplotlib/pull/31595","No","None",""
"matplotlib/matplotlib#31634","matplotlib/matplotlib","31634","https://github.com/matplotlib/matplotlib/pull/31634","Yes","Negative","None"
"mesa/mesa#3723","mesa/mesa","3723","https://github.com/mesa/mesa/pull/3723","No","None",""
"mesa/mesa#3791","mesa/mesa","3791","https://github.com/mesa/mesa/pull/3791","No","None",""
"mesa/mesa#3824","mesa/mesa","3824","https://github.com/mesa/mesa/pull/3824","No","None",""
"mesa/mesa#3729","mesa/mesa","3729","https://github.com/mesa/mesa/pull/3729","No","None",""
"mesa/mesa#3809","mesa/mesa","3809","https://github.com/mesa/mesa/pull/3809","No","None",""
"mesa/mesa#3740","mesa/mesa","3740","https://github.com/mesa/mesa/pull/3740","No","None",""
"mesa/mesa#3804","mesa/mesa","3804","https://github.com/mesa/mesa/pull/3804","No","None",""
"mesa/mesa#3747","mesa/mesa","3747","https://github.com/mesa/mesa/pull/3747","No","None",""
"mesa/mesa#3722","mesa/mesa","3722","https://github.com/mesa/mesa/pull/3722","No","None",""
"mesa/mesa#3817","mesa/mesa","3817","https://github.com/mesa/mesa/pull/3817","No","None",""
"mesa/mesa#3669","mesa/mesa","3669","https://github.com/mesa/mesa/pull/3669","No","None",""
"mesa/mesa#3706","mesa/mesa","3706","https://github.com/mesa/mesa/pull/3706","No","None",""
"mesa/mesa#3769","mesa/mesa","3769","https://github.com/mesa/mesa/pull/3769","No","None",""
"mesa/mesa#3819","mesa/mesa","3819","https://github.com/mesa/mesa/pull/3819","No","None",""
"mesa/mesa#3818","mesa/mesa","3818","https://github.com/mesa/mesa/pull/3818","No","None",""
"mesa/mesa#3796","mesa/mesa","3796","https://github.com/mesa/mesa/pull/3796","No","None",""
"mesa/mesa#3482","mesa/mesa","3482","https://github.com/mesa/mesa/pull/3482","No","None",""
"mesa/mesa#3620","mesa/mesa","3620","https://github.com/mesa/mesa/pull/3620","No","None",""
"mesa/mesa#3731","mesa/mesa","3731","https://github.com/mesa/mesa/pull/3731","No","None",""
"mesa/mesa#3287","mesa/mesa","3287","https://github.com/mesa/mesa/pull/3287","No","None",""
"NetBSD/src#80","NetBSD/src","80","https://github.com/NetBSD/src/pull/80","No","None",""
"NetBSD/src#79","NetBSD/src","79","https://github.com/NetBSD/src/pull/79","No","None","no description"
"NetBSD/src#82","NetBSD/src","82","https://github.com/NetBSD/src/pull/82","No","None","no description"
"numpy/numpy#31881","numpy/numpy","31881","https://github.com/numpy/numpy/pull/31881","Yes","Negative",""
"numpy/numpy#31525","numpy/numpy","31525","https://github.com/numpy/numpy/pull/31525","Yes","Positive",""
"numpy/numpy#32413","numpy/numpy","32413","https://github.com/numpy/numpy/pull/32413","Yes","Positive",""
"numpy/numpy#32455","numpy/numpy","32455","https://github.com/numpy/numpy/pull/32455","Yes","Positive",""
"numpy/numpy#30023","numpy/numpy","30023","https://github.com/numpy/numpy/pull/30023","No","None",""
"numpy/numpy#31786","numpy/numpy","31786","https://github.com/numpy/numpy/pull/31786","Yes","Positive",""
"numpy/numpy#31876","numpy/numpy","31876","https://github.com/numpy/numpy/pull/31876","Yes","Negative","Fully written by author"
"numpy/numpy#32371","numpy/numpy","32371","https://github.com/numpy/numpy/pull/32371","Yes","Negative",""
"numpy/numpy#32030","numpy/numpy","32030","https://github.com/numpy/numpy/pull/32030","Yes","Negative",""
"numpy/numpy#31791","numpy/numpy","31791","https://github.com/numpy/numpy/pull/31791","Yes","Positive",""
"numpy/numpy#31902","numpy/numpy","31902","https://github.com/numpy/numpy/pull/31902","Yes","Positive",""
